title,reporting_organisation,iati_identifier,sector_code,sector_name,start_actual,end_actual,recipient_country,recipient_country_code,position,budget_date,budget_amount
Procurement of services to evaluate the monitoring of Artemisinin Based Combination Therapy (ACT) component,Department for International Development,GB-1-202401-104,12262,Malaria control,4/15/2011,3/31/2014,Uganda,UG,,4/15/2011,115836
Design phase of Accelerating the rise in contraceptive prevalence in Uganda programme,Department for International Development,GB-1-202420-101,13030,Family planning,4/11/2011,3/31/2015,Uganda,UG,,4/11/2011,100000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,4000000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,4000000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,4700000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,1000000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,4000000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,500000
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,8250114
Contribution to Family Planning Programme through United States Agency for International Development (USAID),Department for International Development,GB-1-202420-102,13030,Family planning,6/22/2011,3/31/2015,Uganda,UG,,6/22/2011,1500000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,1000000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,500000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,863752
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,-500000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,500000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,1000000
Procurement of commodities,Department for International Development,GB-1-202420-103,13030,Family planning,3/2/2012,3/31/2015,Uganda,UG,,3/2/2012,2636248
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,500000
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,-490375
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,-549886
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,274943
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,274943
Procurement of services for monitoring and an impact evaluation of the programme,Department for International Development,GB-1-202420-104,13030,Family planning,8/8/2012,3/31/2015,Uganda,UG,,8/8/2012,1040261
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,106104
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,-13977
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,981062
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,-6134
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,450000
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,49812
Funding to British Red Cross/ Uganda Red Cross for Reducing Community Risk and Strengthening Disaster Response.,Department for International Development,GB-1-202672-101,41010,Environmental policy and administrative management,7/1/2011,10/31/2014,Uganda,UG,,7/1/2011,1265222
Business Case preparation,Department for International Development,GB-1-202692-101,24030,Formal sector financial intermediaries,6/30/2011,12/30/2014,Uganda,UG,,6/30/2011,31330
Business Case preparation,Department for International Development,GB-1-202692-101,24030,Formal sector financial intermediaries,6/30/2011,12/30/2014,Uganda,UG,,6/30/2011,104183
Business Case preparation,Department for International Development,GB-1-202692-101,24030,Formal sector financial intermediaries,6/30/2011,12/30/2014,Uganda,UG,,6/30/2011,-81000
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,1504000
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,-1504000
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,187197
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,80605
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,2407333
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,5407333
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,3374283
Design and Implementation of the Financial Services Inclusion Programme in Uganda,Department for International Development,GB-1-202692-102,24030,Formal sector financial intermediaries,4/1/2012,3/30/2017,Uganda,UG,,4/1/2012,2533941
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-165556
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,470969
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,592645
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,275971
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,35271
Village and Savings Loan Programme (CARE Uganda),Department for International Development,GB-1-202692-105,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,200000
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-46676
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,12500
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,20000
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,17500
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-38139
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,38600
Legal Establishment of Financial Sector Deepening Uganda,Department for International Development,GB-1-202692-106,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,81215
Custodian Management Cost,Department for International Development,GB-1-202692-107,24040,Informal/semi-formal financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,100000
Monitoring and Evaluation,Department for International Development,GB-1-202692-108,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,30000
Monitoring and Evaluation,Department for International Development,GB-1-202692-108,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,30000
Monitoring and Evaluation,Department for International Development,GB-1-202692-108,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,40000
Opportunity International Pilot activities,Department for International Development,GB-1-202692-109,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,47864
Opportunity International Pilot activities,Department for International Development,GB-1-202692-109,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,40730
Opportunity International Pilot activities,Department for International Development,GB-1-202692-109,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,128856
Opportunity International Pilot activities,Department for International Development,GB-1-202692-109,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,77831
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,128856
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-1
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,271145
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-170000
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,-170000
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,170000
SKILLS AND INNOVATIONS IN MICRO-BANKING (SIMBA),Department for International Development,GB-1-202692-110,24030,Formal sector financial intermediaries,4/5/2012,3/31/2017,Uganda,UG,,4/5/2012,770001
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,20000000
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,5010000
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,2625000
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,-13150000
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,15250000
Uganda Growth and Poverty Reduction Grant (GPRG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-101,11110,Education policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,-2100000
Health Sector Service Delivery Grant (HSDG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-102,12110,Health policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,5000000
Health Sector Service Delivery Grant (HSDG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-102,12110,Health policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,6600000
Health Sector Service Delivery Grant (HSDG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-102,12110,Health policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,-6600000
Health Sector Service Delivery Grant (HSDG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-102,12110,Health policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,7500000
Health Sector Service Delivery Grant (HSDG) - This Component has been indefinately suspended,Department for International Development,GB-1-202747-102,12110,Health policy and administrative management,9/1/2011,8/31/2015,Uganda,UG,,9/1/2011,-900000
Independent external review of Budget Support in Uganda: 1998 – 2012,Department for International Development,GB-1-202747-103,12110,Health policy and administrative management,7/18/2013,3/31/2015,Uganda,UG,,7/18/2013,-17115
Independent external review of Budget Support in Uganda: 1998 – 2012,Department for International Development,GB-1-202747-103,12110,Health policy and administrative management,7/18/2013,3/31/2015,Uganda,UG,,7/18/2013,61654
Independent external review of Budget Support in Uganda: 1998 – 2012,Department for International Development,GB-1-202747-103,12110,Health policy and administrative management,7/18/2013,3/31/2015,Uganda,UG,,7/18/2013,60461
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,2000000
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666660
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,10
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,-10
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,2388320
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,666670
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,2875000
Component 1 Democratic Governance Facility: Deepening Democracy Programme Phase II,Department for International Development,GB-1-202802-101,15151,Elections,3/23/2012,12/31/2015,Uganda,UG,,3/23/2012,670000
Nutrition Assistance for Karamoja_World Food Programme,Department for International Development,GB-1-202810-101,72040,Emergency food aid,11/11/2011,1/31/2013,Uganda,UG,,11/11/2011,1241875
Nutrition Assistance for Karamoja_United Nations Children's Fund (UNICEF),Department for International Development,GB-1-202810-102,72010,Material relief assistance and services,11/11/2011,1/31/2013,Uganda,UG,,11/11/2011,1509375
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,32410
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,13290
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,17600
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,39468
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,17625
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,-30125
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,111515
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,26990
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,52545
Advocacy for the implementation of the Domestic Violence Act,Department for International Development,GB-1-202943-101,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,18679
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,142586
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,-156795
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,252995
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,94652
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,100128
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,205024
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,139133
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,139132
Expansion of protection shelters for Gender Based Violence survivors,Department for International Development,GB-1-202943-102,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,433144
Evaluation of gender based violence programme,Department for International Development,GB-1-202943-103,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,49321
Evaluation of gender based violence programme,Department for International Development,GB-1-202943-103,15170,Women’s equality organisations and institutions,12/15/2011,12/14/2014,Uganda,UG,,12/15/2011,679
Uganda Humanitarian Funding_Landslides and Floods Response 2011,Department for International Development,GB-1-202986-101,72010,Material relief assistance and services,11/30/2011,3/31/2012,Uganda,UG,,11/30/2011,430000
Support to Emergency Measles Vaccination Campaign and Polio Elimination Efforts in Uganda,Department for International Development,GB-1-203384-101,72010,Material relief assistance and services,5/17/2012,7/31/2012,Uganda,UG,,5/17/2012,1125000
Support to design the Enhancing Resilience programme in Karamoja,Department for International Development,GB-1-203603-101,41010,Environmental policy and administrative management,7/18/2012,3/31/2015,Uganda,UG,,7/18/2012,-23030
Support to design the Enhancing Resilience programme in Karamoja,Department for International Development,GB-1-203603-101,41010,Environmental policy and administrative management,7/18/2012,3/31/2015,Uganda,UG,,7/18/2012,100000
Support to design the Enhancing Resilience programme in Karamoja,Department for International Development,GB-1-203603-101,41010,Environmental policy and administrative management,7/18/2012,3/31/2015,Uganda,UG,,7/18/2012,-12534
Support to design the Enhancing Resilience programme in Karamoja,Department for International Development,GB-1-203603-101,41010,Environmental policy and administrative management,7/18/2012,3/31/2015,Uganda,UG,,7/18/2012,35564
Support to design the Enhancing Resilience programme in Karamoja,Department for International Development,GB-1-203603-101,41010,Environmental policy and administrative management,7/18/2012,3/31/2015,Uganda,UG,,7/18/2012,25000
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,1831418
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,-362856
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,1561292
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,849792
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,1439674
Strengthening nutrition programmes for vulnerable groups,Department for International Development,GB-1-203603-102,41010,Environmental policy and administrative management,7/18/2012,3/31/2016,Uganda,UG,,7/18/2012,1512180
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,1500000
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,2960000
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,2272500
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,-3006260
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,453850
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,858750
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,687400
Strengthening livelihoods and food security,Department for International Development,GB-1-203603-103,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,2036260
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,4330000
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,379253
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,2000000
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,1482500
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,2669500
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,330500
Strengthening public works programme,Department for International Development,GB-1-203603-104,41010,Environmental policy and administrative management,6/10/2013,9/30/2015,Uganda,UG,,6/10/2013,477747
Programme funded Adviser costs and Monitoring & Evaluation and Innovation and learning consultants,Department for International Development,GB-1-203603-105,41010,Environmental policy and administrative management,10/1/2013,3/31/2016,Uganda,UG,,10/1/2013,450000
Programme funded Adviser costs and Monitoring & Evaluation and Innovation and learning consultants,Department for International Development,GB-1-203603-105,41010,Environmental policy and administrative management,10/1/2013,3/31/2016,Uganda,UG,,10/1/2013,521822
Programme funded Adviser costs and Monitoring & Evaluation and Innovation and learning consultants,Department for International Development,GB-1-203603-105,41010,Environmental policy and administrative management,10/1/2013,3/31/2016,Uganda,UG,,10/1/2013,1008178
Support to the supplementary feeding Programme,Department for International Development,GB-1-203603-106,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,1300000
Support to the supplementary feeding Programme,Department for International Development,GB-1-203603-106,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,1314500
Support to the supplementary feeding Programme,Department for International Development,GB-1-203603-106,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,1115676
Support to the supplementary feeding Programme,Department for International Development,GB-1-203603-106,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,657000
Support to the supplementary feeding Programme,Department for International Development,GB-1-203603-106,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,869324
Climate change internal risk facility - Africa Regional Dept funds,Department for International Development,GB-1-203603-107,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,-30000
Climate change internal risk facility - Africa Regional Dept funds,Department for International Development,GB-1-203603-107,41010,Environmental policy and administrative management,7/9/2013,3/31/2016,Uganda,UG,,7/9/2013,-450000
